Id,SalePrice
1461,129756.5
1462,149308.37
1463,187954.35
1464,186269.72
1465,189547.87
1466,184811.07
1467,180188.64
1468,174727.0
1469,185821.8
1470,137052.5
1471,212359.32
1472,92419.0
1473,103807.32
1474,147421.0
1475,120280.42
1476,287981.69
1477,252338.2
1478,262287.16
1479,233581.47
1480,314033.31
1481,288477.44
1482,204417.53
1483,178474.8
1484,179119.77
1485,168306.56
1486,192972.8
1487,263151.6
1488,240487.6
1489,217756.17
1490,209835.45
1491,191823.0
1492,110231.0
1493,175359.14
1494,297971.87
1495,305605.48
1496,225586.58
1497,191398.05
1498,155521.88
1499,154837.6
1500,161015.69
1501,172140.12
1502,149900.13
1503,300745.92
1504,218810.65
1505,217293.32
1506,180918.6
1507,268531.66
1508,198303.8
1509,156770.0
1510,156906.0
1511,152451.0
1512,177149.0
1513,164439.37
1514,223358.22
1515,216645.99
1516,149690.0
1517,154258.5
1518,155017.5
1519,238083.47
1520,139633.5
1521,144114.0
1522,155420.0
1523,122943.75
1524,119353.5
1525,123041.0
1526,127356.0
1527,100475.96
1528,127183.0
1529,138446.0
1530,158027.32
1531,152290.98
1532,116095.0
1533,141200.5
1534,119662.54
1535,150401.27
1536,132950.5
1537,85954.76
1538,181981.87
1539,190954.9
1540,177165.05
1541,136248.87
1542,141117.9
1543,193300.8
1544,89319.15
1545,109822.0
1546,122738.5
1547,138267.5
1548,129158.75
1549,115281.83
1550,137048.37
1551,125260.0
1552,164563.08
1553,149776.57
1554,112390.36
1555,173804.5
1556,91617.04
1557,130971.87
1558,99220.0
1559,137591.74
1560,152414.37
1561,177538.9
1562,125083.5
1563,125942.0
1564,157284.5
1565,151747.15
1566,199288.83
1567,83218.44
1568,219332.0
1569,134305.0
1570,126347.32
1571,120849.96
1572,140860.75
1573,237801.47
1574,112491.5
1575,197963.38
1576,222107.46
1577,214580.47
1578,125656.82
1579,152286.21
1580,190138.3
1581,130440.0
1582,129482.0
1583,326337.1
1584,232513.61
1585,143989.52
1586,81088.66
1587,97662.5
1588,153938.0
1589,115007.0
1590,131692.0
1591,109884.0
1592,136042.75
1593,118985.0
1594,178144.78
1595,118400.5
1596,209575.89
1597,202525.0
1598,166981.53
1599,162566.84
1600,188123.55
1601,77053.98
1602,116848.0
1603,105385.0
1604,285476.15
1605,254646.22
1606,161739.32
1607,201718.0
1608,218013.49
1609,207628.92
1610,163927.89
1611,157295.9
1612,183843.46
1613,187093.58
1614,129280.0
1615,94742.04
1616,81277.11
1617,102540.0
1618,125839.0
1619,131752.0
1620,212133.53
1621,161226.07
1622,151608.0
1623,311402.58
1624,221539.46
1625,128762.5
1626,161593.0
1627,188142.35
1628,284801.89
1629,169056.15
1630,324114.0
1631,211442.91
1632,250927.53
1633,165691.96
1634,185480.34
1635,172289.48
1636,174217.81
1637,191502.15
1638,188981.47
1639,181544.0
1640,258006.43
1641,179073.8
1642,215182.28
1643,214032.32
1644,216077.48
1645,192248.0
1646,154053.0
1647,162988.45
1648,144110.75
1649,139998.0
1650,134505.0
1651,125615.32
1652,91779.0
1653,97925.0
1654,156219.5
1655,148694.35
1656,146578.5
1657,157046.0
1658,143999.0
1659,132909.67
1660,137488.5
1661,353118.21
1662,325262.0
1663,323126.98
1664,361555.39
1665,263826.88
1666,329660.49
1667,326380.79
1668,300116.9
1669,284750.93
1670,327775.68
